Time_Stamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Fault_Detection
12:28:25 PM,4.89,0,97.75,0,0,92.86,0
12:28:25 PM,0,0,78.2,0,0,73.31,0
12:28:25 PM,0,0,29.33,0,0,63.54,0
12:28:25 PM,0,0,0,4.89,0,19.55,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,34.21,0,0,24.44,0,0
12:28:25 PM,0,0,0,0,39.1,0,0
12:28:25 PM,0,14.66,78.2,0,24.44,48.88,0
12:28:25 PM,9.78,0,97.75,0,4.89,68.43,0
12:28:25 PM,0,0,58.65,0,0,68.43,0
12:28:25 PM,0,0,43.99,4.89,0,78.2,0
12:28:25 PM,0,0,0,4.89,0,24.44,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,9.78,0,0,0,0,0
12:28:25 PM,0,24.44,29.33,4.89,9.78,39.1,0
12:28:25 PM,0,0,112.41,0,0,87.98,0
12:28:25 PM,0,0,58.65,0,29.33,34.21,0
12:28:25 PM,0,0,48.88,0,0,29.33,0
12:28:25 PM,0,0,0,0,0,9.78,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,34.21,0,0,0,0,0
12:28:25 PM,0,0,0,4.89,9.78,0,0
12:28:25 PM,0,0,127.08,0,0,87.98,0
12:28:25 PM,0,0,112.41,14.66,19.55,97.75,0
12:28:25 PM,0,0,73.31,0,0,102.64,0
12:28:25 PM,0,0,19.55,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,24.44,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,9.78,0,0,0,0,0
12:28:25 PM,0,0,0,0,14.66,9.78,0
12:28:25 PM,0,0,127.08,0,39.1,122.19,0
12:28:25 PM,4.89,0,112.41,0,9.78,117.3,0
12:28:25 PM,0,0,92.86,0,0,92.86,0
12:28:25 PM,0,0,19.55,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,4.89,0,0,9.78,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,19.55,0,0,0,0,0
12:28:25 PM,0,0,0,9.78,0,0,0
12:28:25 PM,0,29.33,83.09,0,0,9.78,0
12:28:25 PM,4.89,0,102.64,0,0,58.65,0
12:28:25 PM,0,0,68.43,0,0,29.33,0
12:28:25 PM,0,0,29.33,0,0,29.33,0
12:28:25 PM,0,0,4.89,0,0,14.66,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,19.55,0,0,24.44,0,0
12:28:25 PM,4.89,0,0,4.89,19.55,0,0
12:28:25 PM,0,19.55,58.65,0,34.21,34.21,0
12:28:25 PM,0,0,87.98,0,0,87.98,0
12:28:25 PM,0,0,53.76,0,0,53.76,0
12:28:25 PM,0,0,34.21,0,0,24.44,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,0,0,0,53.76,0,0
12:28:25 PM,0,0,0,0,24.44,0,0
12:28:25 PM,0,29.33,34.21,0,34.21,14.66,0
12:28:25 PM,0,0,107.53,0,4.89,87.98,0
12:28:25 PM,0,0,53.76,0,24.44,34.21,0
12:28:25 PM,0,0,53.76,0,0,43.99,0
12:28:25 PM,0,0,9.78,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,4.89,0,0,0
12:28:25 PM,0,9.78,0,4.89,29.33,0,0
12:28:25 PM,4.89,0,14.66,0,29.33,0,0
12:28:25 PM,0,0,127.08,0,0,156.4,0
12:28:25 PM,0,0,78.2,0,0,112.41,0
12:28:25 PM,0,0,63.54,0,0,78.2,0
12:28:25 PM,0,0,19.55,0,24.44,24.44,0
12:28:25 PM,0,0,0,0,4.89,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,9.78,0,0
12:28:25 PM,0,34.21,0,0,0,0,0
12:28:25 PM,0,0,0,0,14.66,0,0
12:28:25 PM,0,4.89,117.3,0,24.44,131.96,0
12:28:25 PM,0,0,102.64,0,0,107.53,0
12:28:25 PM,0,0,78.2,0,0,112.41,0
12:28:25 PM,0,0,43.99,0,0,29.33,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,9.78,0,4.89,0,0,0
12:28:25 PM,0,24.44,0,0,14.66,0,0
12:28:25 PM,0,4.89,0,4.89,19.55,0,0
12:28:25 PM,0,14.66,107.53,0,0,122.19,0
12:28:25 PM,0,0,122.19,0,0,112.41,0
12:28:25 PM,0,0,63.54,0,0,117.3,0
12:28:25 PM,0,0,63.54,0,0,24.44,0
12:28:25 PM,0,0,9.78,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,24.44,0,0,53.76,0,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,24.44,63.54,0,43.99,53.76,0
12:28:25 PM,0,0,83.09,4.89,4.89,24.44,0
12:28:25 PM,0,0,48.88,0,0,29.33,0
12:28:25 PM,0,0,48.88,0,0,0,0
12:28:25 PM,0,0,19.55,0,0,0,0
12:28:25 PM,0,0,0,0,24.44,0,0
12:28:25 PM,0,0,0,0,34.21,0,0
12:28:25 PM,0,14.66,0,0,4.89,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,19.55,43.99,0,9.78,29.33,0
12:28:25 PM,0,0,73.31,0,0,68.43,0
12:28:25 PM,0,0,53.76,0,0,43.99,0
12:28:25 PM,0,0,53.76,0,0,29.33,0
12:28:25 PM,0,4.89,29.33,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,4.89,24.44,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,9.78,4.89,4.89,4.89,4.89,48.88,0
12:28:25 PM,0,0,78.2,9.78,9.78,146.63,0
12:28:25 PM,4.89,0,68.43,0,0,39.1,0
12:28:25 PM,0,0,53.76,0,0,43.99,0
12:28:25 PM,0,0,39.1,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,0,0,4.89,0,0,0
12:28:25 PM,0,29.33,0,9.78,0,0,0
12:28:25 PM,0,0,0,0,58.65,0,0
12:28:25 PM,0,0,102.64,0,0,175.95,0
12:28:25 PM,0,0,97.75,0,34.21,83.09,0
12:28:25 PM,0,0,48.88,0,0,78.2,0
12:28:25 PM,0,0,48.88,0,0,0,0
12:28:25 PM,0,0,4.89,0,4.89,0,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,4.89,0,0,14.66,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,78.2,0,0,136.85,0
12:28:25 PM,0,0,87.98,14.66,0,136.85,0
12:28:25 PM,0,0,43.99,4.89,0,141.74,0
12:28:25 PM,0,0,34.21,0,0,63.54,0
12:28:25 PM,0,0,9.78,0,0,0,0
12:28:25 PM,0,14.66,0,0,4.89,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,19.55,0,0,24.44,0,0
12:28:25 PM,0,0,0,0,14.66,0,0
12:28:25 PM,0,29.33,73.31,0,0,102.64,0
12:28:25 PM,0,0,97.75,4.89,0,87.98,0
12:28:25 PM,0,0,58.65,0,0,97.75,0
12:28:25 PM,0,0,63.54,0,0,48.88,0
12:28:25 PM,0,0,24.44,0,0,24.44,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,24.44,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,4.89,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,63.54,0,0,78.2,0
12:28:25 PM,0,0,68.43,0,9.78,87.98,0
12:28:25 PM,0,9.78,58.65,0,0,43.99,0
12:28:25 PM,0,0,48.88,19.55,0,29.33,0
12:28:25 PM,0,0,34.21,0,0,14.66,0
12:28:25 PM,0,0,0,4.89,0,0,0
